,OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,GarageCars,GarageArea,Y
41,5,1959,1959,3,4,1350.0,1328,1328,1,3,5,1.0,308.0,170000
42,5,1983,1983,3,2,840.0,884,884,1,2,5,2.0,504.0,144000
43,5,1975,1980,3,2,938.0,938,938,1,3,5,1.0,308.0,130250
44,5,1959,1959,3,4,1150.0,1150,1150,1,3,6,1.0,300.0,141000
45,9,2005,2005,0,0,1752.0,1752,1752,2,0,6,2.0,576.0,319900
46,7,2003,2003,2,0,1434.0,1518,2149,1,2,6,2.0,670.0,239686
47,8,2006,2006,2,2,1656.0,1656,1656,2,2,7,3.0,826.0,249700
48,4,1920,2008,3,4,736.0,736,1452,2,3,8,0.0,0.0,113000
49,5,1966,1966,3,4,955.0,955,955,1,3,6,1.0,386.0,127000
50,6,1997,1997,3,2,794.0,794,1470,2,3,6,2.0,388.0,177000
51,6,1934,1950,3,4,816.0,816,1176,1,3,6,2.0,528.0,114500
52,5,1963,1963,1,2,816.0,816,816,1,3,5,2.0,516.0,110000
53,9,1981,1987,2,0,1842.0,1842,1842,0,2,5,3.0,894.0,385000
54,5,1955,1955,3,4,384.0,1360,1360,1,3,6,2.0,572.0,130000
55,6,1964,1964,3,4,1425.0,1425,1425,2,3,7,2.0,576.0,180500
56,8,1999,2000,2,2,970.0,983,1739,2,2,7,2.0,480.0,172500
57,7,2004,2004,2,2,860.0,860,1720,2,2,7,2.0,565.0,196500
58,10,2006,2006,0,0,1410.0,1426,2945,3,2,10,3.0,641.0,438780
59,5,1972,1972,3,4,780.0,780,780,1,3,4,1.0,352.0,124900
60,6,2004,2004,3,2,1158.0,1158,1158,1,2,5,2.0,576.0,158000
61,5,1920,1996,3,4,530.0,581,1111,1,1,6,1.0,288.0,101000
62,8,2006,2006,2,2,1370.0,1370,1370,2,2,6,2.0,484.0,202500
63,7,1921,1950,3,4,576.0,902,1710,2,3,9,2.0,480.0,140000
64,7,1997,1998,3,2,1057.0,1057,2034,2,2,8,2.0,645.0,219500
65,8,2004,2005,2,0,1143.0,1143,2473,2,2,9,3.0,852.0,317000
66,7,1970,1989,3,2,1947.0,2207,2207,2,3,7,2.0,576.0,180000
67,7,2003,2003,2,2,1453.0,1479,1479,2,2,7,2.0,558.0,226000
68,4,1945,1950,3,4,747.0,747,747,1,3,4,1.0,220.0,80000
69,7,1953,1953,2,4,1304.0,1304,2287,2,3,7,2.0,667.0,225000
70,7,1973,1973,3,2,2223.0,2223,2223,2,3,8,2.0,516.0,244000
71,4,1982,2006,3,4,845.0,845,845,1,3,4,2.0,360.0,129500
72,7,1998,1998,3,2,832.0,885,1718,2,3,7,2.0,427.0,185000
73,5,1954,2003,3,4,1086.0,1086,1086,1,3,6,2.0,490.0,144900
74,3,1915,1950,2,1,840.0,840,1605,2,3,8,1.0,379.0,107400
75,4,1973,1973,3,2,462.0,526,988,1,3,5,1.0,297.0,91000
76,4,1956,1956,3,4,952.0,952,952,1,3,4,1.0,283.0,135750
77,5,1948,2001,3,4,672.0,1072,1285,1,3,6,1.0,240.0,127000
78,4,1968,1968,3,4,1768.0,1768,1768,2,3,8,0.0,0.0,136500
79,5,1910,1981,3,4,440.0,682,1230,1,3,5,2.0,440.0,110000
80,6,1968,1968,3,2,896.0,1182,2142,2,2,8,1.0,509.0,193500
81,6,1998,1998,3,0,1237.0,1337,1337,2,3,5,2.0,405.0,153500
82,8,2007,2007,3,2,1563.0,1563,1563,2,2,6,3.0,758.0,245000
83,5,1960,1960,3,4,1065.0,1065,1065,1,3,6,2.0,461.0,126500
84,7,1995,1996,3,2,384.0,804,1474,2,3,7,2.0,400.0,168500
85,8,1991,1992,2,2,1288.0,1301,2417,2,2,9,2.0,462.0,260000
86,6,2005,2005,2,2,684.0,684,1560,2,2,6,2.0,400.0,174000
87,6,2009,2009,2,2,612.0,612,1224,2,2,4,2.0,528.0,164500
88,3,1915,1982,1,4,1013.0,1013,1526,1,1,6,0.0,0.0,85000
89,4,1994,1995,3,2,990.0,990,990,1,3,5,0.0,0.0,123600
90,4,1950,1950,3,3,0.0,1040,1040,1,3,4,2.0,420.0,109900
91,5,1961,1961,3,4,1235.0,1235,1235,1,3,6,2.0,480.0,98600
92,5,1921,2006,3,2,876.0,964,964,1,3,5,2.0,432.0,163500
93,6,1910,1998,3,4,1214.0,1260,2291,2,3,9,2.0,506.0,133900
94,6,1997,1997,3,2,824.0,905,1786,2,2,7,2.0,684.0,204750
95,6,1993,1993,0,2,680.0,680,1470,2,3,6,2.0,420.0,185000
96,7,1999,1999,2,2,1588.0,1588,1588,2,2,6,2.0,472.0,214000
97,4,1965,1965,3,4,960.0,960,960,1,3,6,1.0,432.0,94750
98,5,1920,1950,3,4,458.0,835,835,1,3,5,1.0,366.0,83000
99,4,1959,1959,3,4,950.0,1225,1225,1,3,6,0.0,0.0,128950
100,6,1977,2001,3,4,1610.0,1610,1610,2,2,6,2.0,480.0,205000
101,6,1985,1985,2,2,741.0,977,1732,2,2,7,2.0,476.0,178000
102,5,1979,1979,3,3,0.0,1535,1535,2,3,8,2.0,410.0,118964
103,7,2009,2009,3,2,1226.0,1226,1226,2,2,6,3.0,740.0,198900
104,7,1931,1950,3,4,1040.0,1226,1818,1,3,7,1.0,240.0,169500
105,8,2003,2004,2,0,1053.0,1053,1992,2,2,9,2.0,648.0,250000
106,4,1885,1995,3,1,641.0,1047,1047,1,3,6,1.0,273.0,100000
107,5,1948,1950,3,4,789.0,789,789,1,3,5,1.0,250.0,115000
108,5,1919,2005,3,4,793.0,997,1517,2,1,7,0.0,0.0,115000
109,6,1977,1977,3,2,1844.0,1844,1844,2,3,7,2.0,546.0,190000
110,6,1954,1972,3,4,994.0,1216,1855,2,3,7,1.0,325.0,136900
111,7,2000,2000,3,2,384.0,774,1430,2,3,7,2.0,400.0,180000
112,7,2007,2007,2,0,1264.0,1282,2696,2,0,10,3.0,792.0,383970
113,6,1953,1953,3,2,1809.0,2259,2259,2,2,7,2.0,450.0,217000
114,6,1945,2002,3,4,1028.0,1436,2320,2,2,9,1.0,180.0,259500
115,6,1999,1999,3,2,729.0,729,1458,2,3,5,2.0,440.0,176000
116,5,1962,1962,3,4,1092.0,1092,1092,1,3,6,1.0,288.0,139000
117,5,2006,2007,3,2,1125.0,1125,1125,1,3,5,2.0,430.0,155000
118,7,1990,1990,3,2,1673.0,1699,3222,3,2,11,3.0,594.0,320000
119,6,2005,2006,2,2,728.0,728,1456,2,2,8,2.0,390.0,163990
120,6,1969,1969,3,4,938.0,988,988,1,3,4,2.0,540.0,180000
121,4,1939,1950,3,4,732.0,772,1123,1,3,4,1.0,264.0,100000
122,6,1958,1958,3,4,1080.0,1080,1080,1,3,5,1.0,288.0,136000
123,6,1993,1993,2,2,1199.0,1199,1199,2,2,5,2.0,530.0,153900
124,6,1979,1998,3,2,1362.0,1586,1586,2,3,7,2.0,435.0,181000
125,6,1935,1982,3,4,520.0,520,754,1,3,5,0.0,0.0,84500
126,6,1976,1976,3,2,1078.0,958,958,2,3,5,2.0,440.0,128000
127,5,1930,1950,3,4,672.0,840,840,1,3,5,0.0,0.0,87000
128,6,1966,1966,3,4,660.0,660,1348,1,3,6,2.0,453.0,155000
129,5,1958,1991,3,4,1008.0,1053,1053,1,0,6,2.0,750.0,150000
130,7,1966,1966,3,4,924.0,1216,2157,2,2,8,2.0,487.0,226000
131,6,2000,2000,2,2,992.0,1022,2054,2,2,7,2.0,390.0,244000
132,5,1959,2002,3,4,1063.0,1327,1327,1,2,7,2.0,624.0,150750
133,8,2001,2002,2,0,1267.0,1296,1296,2,2,6,2.0,471.0,220000
134,5,1968,1993,3,4,1461.0,1721,1721,2,3,7,2.0,440.0,180000
135,7,1970,1970,3,4,1304.0,1682,1682,2,3,7,2.0,530.0,174000
136,5,1967,1967,3,4,1214.0,1214,1214,2,3,5,1.0,318.0,143000
137,7,1988,1989,3,4,1907.0,1959,1959,3,3,9,3.0,766.0,171000
138,8,1999,2000,2,2,1004.0,1004,1852,2,2,7,3.0,660.0,230000
139,6,1997,1997,3,2,928.0,928,1764,2,2,7,2.0,470.0,231500
140,4,1971,1971,3,4,864.0,864,864,1,3,5,0.0,0.0,115000
141,7,2005,2005,2,2,1734.0,1734,1734,2,2,7,2.0,660.0,260000
142,5,1952,1952,3,4,910.0,910,1385,2,3,6,2.0,720.0,166000
143,7,1999,1999,2,2,1490.0,1501,1501,2,2,6,2.0,577.0,204000
144,5,1963,1963,3,4,1728.0,1728,1728,2,3,10,2.0,504.0,125000
145,6,2004,2006,2,2,970.0,970,1709,2,2,7,2.0,380.0,130000
146,5,1931,1993,3,4,715.0,875,875,1,3,5,1.0,180.0,105000
147,7,2001,2001,2,2,884.0,884,2035,2,2,8,2.0,434.0,222500
148,7,2004,2005,3,2,1080.0,1080,1080,1,2,6,0.0,0.0,141000
149,5,1936,1950,3,2,896.0,896,1344,1,3,7,1.0,240.0,115000
150,5,1975,1975,3,4,969.0,969,969,1,3,5,2.0,440.0,122000
151,8,2007,2008,2,0,1710.0,1710,1710,2,2,6,3.0,866.0,372402
152,6,1971,1971,3,4,825.0,1097,1993,2,3,8,2.0,495.0,190000
153,6,1960,1975,3,2,1602.0,1252,1252,1,3,4,2.0,564.0,235000
154,6,1923,1950,3,4,1200.0,1200,1200,1,3,7,1.0,312.0,125000
155,6,1924,1950,3,4,572.0,572,1096,1,3,5,0.0,0.0,79000
156,5,1950,1950,3,3,0.0,1040,1040,1,3,5,2.0,625.0,109500
157,8,2009,2010,2,0,774.0,774,1968,2,0,8,3.0,680.0,269500
158,7,2004,2005,2,2,991.0,991,1947,2,2,8,2.0,678.0,254900
159,7,2005,2006,2,2,1392.0,1392,2462,2,2,9,2.0,576.0,320000
160,6,1984,1984,3,2,1232.0,1232,1232,2,3,6,2.0,516.0,162500
161,9,2003,2004,2,0,1572.0,1572,2668,2,0,10,3.0,726.0,412500
162,7,2005,2005,2,2,1541.0,1541,1541,2,2,7,2.0,532.0,220000
163,4,1956,1956,3,4,882.0,882,882,1,3,4,0.0,0.0,103200
164,6,1926,2004,3,4,1149.0,1149,1616,2,2,5,1.0,216.0,152000
165,5,1940,1999,3,4,644.0,808,1355,2,3,6,0.0,0.0,127500
166,5,1955,1993,2,4,1617.0,1867,1867,1,3,7,1.0,303.0,190000
167,8,2007,2007,2,0,1582.0,1610,2161,1,0,8,3.0,789.0,325624
168,7,2004,2004,2,2,840.0,840,1720,2,2,7,2.0,440.0,183500
169,8,1981,1981,2,2,1686.0,1707,1707,2,3,6,2.0,511.0,228000
170,5,1941,1950,3,4,720.0,854,1382,1,3,7,2.0,660.0,128500
171,6,1960,1960,3,4,1080.0,1656,1656,1,3,7,2.0,528.0,215000
172,7,1987,1987,2,2,1064.0,1064,1767,2,2,5,2.0,504.0,239000
173,6,1961,1961,3,4,1362.0,1362,1362,1,3,6,2.0,504.0,163000
174,6,1986,1986,3,2,1606.0,1651,1651,2,3,7,2.0,616.0,184000
175,6,1950,2001,3,4,1202.0,2158,2158,2,2,7,2.0,576.0,243000
176,6,1988,1989,2,2,1151.0,1164,2060,2,3,8,2.0,521.0,211000
177,5,1958,1958,2,4,1052.0,1252,1920,2,2,8,2.0,451.0,172500
178,9,2008,2009,0,0,2216.0,2234,2234,2,0,9,3.0,1166.0,501837
179,5,1923,2006,2,4,968.0,968,968,1,3,5,2.0,480.0,100000
180,6,2000,2000,2,2,756.0,769,1525,2,2,5,2.0,440.0,177000
181,7,1920,1950,3,1,793.0,901,1802,1,3,9,1.0,216.0,200100
182,5,1957,2006,3,3,0.0,1340,1340,1,3,7,1.0,252.0,120000
183,7,2003,2003,3,2,1362.0,1362,2082,2,2,6,2.0,484.0,200000
184,5,1908,1991,3,1,504.0,936,1252,1,3,5,2.0,576.0,127000
185,10,1892,1993,2,4,1107.0,1518,3608,2,0,12,3.0,840.0,475000
186,7,1990,1991,3,2,1188.0,1217,1217,2,2,6,2.0,497.0,173000
187,5,1916,1987,3,1,660.0,808,1656,2,3,8,1.0,180.0,135000
188,5,1979,1979,3,2,1086.0,1224,1224,0,3,6,2.0,528.0,153337
189,8,2001,2002,2,0,1593.0,1593,1593,1,0,5,2.0,682.0,286000
190,8,1932,1994,2,2,853.0,1549,2727,2,2,10,2.0,440.0,315000
191,7,1972,2004,3,4,725.0,725,1479,1,2,7,2.0,484.0,184000
192,7,1999,1999,2,2,1431.0,1431,1431,2,2,6,2.0,666.0,192000
193,7,2004,2004,2,2,970.0,970,1709,2,2,7,2.0,380.0,130000
194,5,1972,1972,3,4,864.0,864,864,1,3,5,1.0,352.0,127000
195,6,1976,1976,3,2,855.0,855,1456,2,3,7,2.0,440.0,148500
196,7,2007,2007,0,0,1726.0,1726,1726,2,0,8,3.0,786.0,311872
197,8,1918,1990,2,4,1360.0,1360,3112,2,2,8,2.0,795.0,235000
198,6,1912,1950,3,4,755.0,929,2229,1,3,8,0.0,0.0,104000
199,8,2004,2005,2,0,1713.0,1713,1713,2,0,7,3.0,856.0,274900
200,4,2003,2004,3,2,1121.0,1121,1121,2,3,5,2.0,440.0,140000
201,6,1977,1977,3,4,1196.0,1279,1279,2,3,6,2.0,473.0,171500
202,6,1924,1950,3,1,617.0,865,1310,2,3,6,1.0,398.0,112000
203,6,2004,2004,2,2,848.0,848,848,1,2,3,2.0,420.0,149000
204,5,1947,1950,3,4,720.0,720,1284,1,3,5,1.0,240.0,110000
205,7,1990,1990,3,2,1424.0,1442,1442,2,3,5,2.0,500.0,180500
206,5,1962,1962,3,4,1140.0,1696,1696,1,3,8,1.0,349.0,143900
207,4,1960,1960,3,4,1100.0,1100,1100,1,3,6,1.0,312.0,141000
208,7,1988,1989,2,2,1157.0,1180,2062,2,3,7,2.0,454.0,277000
209,6,1964,1964,3,2,1092.0,1092,1092,1,3,6,2.0,504.0,145000
210,5,1925,1950,3,4,864.0,864,864,1,3,5,0.0,0.0,98000
211,6,2009,2009,3,2,1212.0,1212,1212,2,2,6,2.0,460.0,186000
212,7,2009,2009,3,2,900.0,932,1852,2,2,7,2.0,644.0,252678
213,5,1995,1995,3,2,990.0,990,990,1,3,5,2.0,576.0,156000
214,6,1977,1977,3,2,689.0,689,1392,1,3,6,1.0,299.0,161750
215,5,1957,1996,3,4,1070.0,1236,1236,1,2,6,1.0,447.0,134450
216,7,2004,2004,2,2,1436.0,1436,1436,2,2,8,2.0,484.0,210000
217,4,1925,1950,3,4,686.0,810,1328,1,3,8,1.0,210.0,107000
218,7,1939,2006,2,4,798.0,1137,1954,1,2,8,2.0,431.0,311500
219,7,2005,2006,2,2,1248.0,1248,1248,2,2,5,2.0,438.0,167240
220,7,2006,2006,2,2,1498.0,1498,1498,2,2,5,2.0,675.0,204900
221,6,2002,2002,2,2,1010.0,1010,2267,2,2,8,2.0,390.0,200000
222,6,1975,1975,3,2,713.0,811,1552,2,3,6,2.0,434.0,179900
223,4,1971,1971,3,4,864.0,864,864,1,3,4,2.0,576.0,97000
224,10,2003,2003,0,0,2392.0,2392,2392,2,0,8,3.0,968.0,386250
225,5,1971,1971,3,4,630.0,630,1302,2,3,6,1.0,280.0,112000
226,7,1995,1995,2,2,1203.0,1214,2520,2,2,9,3.0,721.0,290000
227,6,1970,1970,3,4,483.0,483,987,1,3,5,1.0,280.0,106000
228,5,1967,1967,3,4,912.0,912,912,1,3,5,1.0,336.0,125000
229,7,2005,2006,2,2,1373.0,1555,1555,2,2,7,2.0,430.0,192500
230,6,1959,1959,3,4,1194.0,1194,1194,1,3,6,1.0,312.0,148000
231,8,1995,1996,2,2,1462.0,1490,2794,2,0,9,3.0,810.0,403000
232,6,1972,1972,3,4,483.0,483,987,1,3,5,1.0,288.0,94500
233,5,1976,1976,3,4,894.0,894,894,1,3,5,1.0,308.0,128200
234,6,2002,2002,2,2,860.0,860,1960,2,2,8,2.0,440.0,216500
235,6,1971,1971,3,4,483.0,483,987,1,3,5,1.0,264.0,89500
236,7,2004,2004,2,2,1414.0,1414,1414,2,2,6,2.0,494.0,185500
237,7,1993,2003,2,2,996.0,1014,1744,2,2,7,2.0,457.0,194500
238,8,2007,2007,0,0,1694.0,1694,1694,2,2,7,3.0,818.0,318000
239,6,1945,1950,3,4,735.0,798,1487,1,3,7,1.0,220.0,113000
240,8,2008,2008,2,2,1566.0,1566,1566,2,2,7,2.0,750.0,262500
241,5,1945,1997,3,4,686.0,866,866,1,2,4,0.0,0.0,110500
242,5,1900,1950,3,4,540.0,889,1440,1,3,6,1.0,352.0,79000
243,6,1980,1980,3,2,626.0,626,1217,1,3,6,1.0,288.0,120000
244,7,1994,2002,2,2,948.0,1222,2110,2,2,8,2.0,463.0,205000
245,7,1988,1988,3,2,1845.0,1872,1872,2,3,6,2.0,604.0,241500
246,6,1910,1950,3,1,1020.0,908,1928,2,1,9,1.0,440.0,137000
247,6,1954,1954,3,4,1367.0,1375,1375,1,3,5,2.0,451.0,140000
248,7,2003,2003,2,2,840.0,840,1668,2,2,8,2.0,500.0,180000
249,6,1958,2006,2,2,1444.0,1444,2144,2,2,7,2.0,389.0,277000
250,3,1940,1966,3,4,728.0,1306,1306,1,1,6,0.0,0.0,76500
251,8,2006,2007,2,2,1573.0,1625,1625,2,2,5,2.0,538.0,235000
252,6,2004,2004,2,2,798.0,798,1640,2,2,6,2.0,520.0,173000
253,6,1964,1991,3,2,1302.0,1302,1302,2,2,7,1.0,309.0,158000
254,5,1957,1957,3,4,1314.0,1314,1314,1,3,5,1.0,294.0,145000
255,7,1999,1999,2,2,975.0,1005,2291,2,2,8,2.0,429.0,230000
256,6,2003,2003,2,2,864.0,864,1728,2,2,7,2.0,673.0,207500
257,7,2006,2006,2,2,1604.0,1604,1604,2,2,8,2.0,660.0,220000
258,7,2001,2001,2,2,963.0,963,1792,2,2,7,2.0,564.0,231500
259,5,1956,1956,3,3,0.0,882,882,1,3,4,1.0,308.0,97000
260,6,1962,1962,3,4,1362.0,1382,1382,1,3,6,2.0,884.0,176000
261,8,2007,2007,2,0,1482.0,1482,2574,2,0,10,3.0,868.0,276000
262,6,1977,1995,3,2,506.0,1212,1212,1,3,6,2.0,492.0,151000
263,5,1929,2001,3,4,926.0,926,1316,1,3,6,2.0,484.0,130000
264,5,1925,2004,3,1,680.0,764,764,1,3,4,2.0,504.0,73000
265,6,1981,1981,3,2,1422.0,1422,1422,2,2,7,2.0,576.0,175500
266,6,1997,1997,3,2,802.0,802,1511,2,3,8,2.0,413.0,185000
267,5,1939,1997,3,4,720.0,1052,2192,2,2,8,1.0,240.0,179500
268,5,1940,1955,3,4,740.0,778,778,1,3,4,1.0,924.0,120500
269,6,1976,1976,3,4,1143.0,1113,1113,1,3,6,1.0,504.0,148000
270,8,2006,2006,2,2,1095.0,1095,1939,2,2,8,3.0,1053.0,266000
271,7,1954,2005,3,2,1385.0,1363,1363,1,3,5,2.0,439.0,241500
272,8,1999,2007,2,2,1152.0,1164,2270,2,2,9,3.0,671.0,290000
273,6,1958,1988,3,4,1240.0,1632,1632,2,3,6,1.0,338.0,139000
274,5,1982,1982,3,4,816.0,816,816,1,3,5,1.0,264.0,124500
275,7,1925,2007,2,4,952.0,952,1548,2,0,5,2.0,672.0,205000
276,7,2003,2003,2,0,1560.0,1560,1560,2,2,7,2.0,573.0,201000
277,4,1951,1951,3,4,864.0,864,864,1,3,4,2.0,400.0,141000
278,9,2006,2007,0,0,2121.0,2121,2121,2,0,8,3.0,732.0,415298
279,7,1977,1977,3,2,1160.0,1156,2022,2,3,8,2.0,505.0,192000
280,7,1989,1989,2,2,807.0,1175,1982,2,2,7,2.0,575.0,228500
281,6,2006,2006,2,2,1262.0,1262,1262,2,2,5,2.0,572.0,185000
282,7,2007,2008,2,2,1314.0,1314,1314,2,2,6,2.0,626.0,207500
283,8,2008,2009,2,2,1468.0,1468,1468,2,2,6,3.0,898.0,244600
284,6,1992,1992,2,2,1575.0,1575,1575,2,2,5,2.0,529.0,179200
285,7,2006,2007,2,2,625.0,625,1250,2,2,5,2.0,528.0,164700
286,6,1962,1981,3,4,912.0,1085,1734,1,2,7,2.0,440.0,159000
287,4,1971,1971,3,4,858.0,858,858,1,3,5,0.0,0.0,88000
288,5,1967,1967,3,4,882.0,900,900,1,3,5,1.0,280.0,122000
289,6,1915,2003,3,4,698.0,698,1396,1,3,7,1.0,384.0,153575
290,8,2006,2006,2,2,1079.0,1079,1919,2,2,8,2.0,685.0,233230
291,5,1912,2000,3,4,780.0,936,1716,2,1,9,0.0,0.0,135900
292,5,1949,2008,3,4,768.0,1148,1716,1,3,8,1.0,281.0,131000
293,7,1977,1994,3,4,795.0,1468,2263,2,2,9,2.0,539.0,235000
294,6,1953,1953,3,4,1416.0,1644,1644,1,3,7,2.0,418.0,167000
295,6,1984,1984,3,4,1003.0,1003,1003,1,3,6,2.0,588.0,142500
296,5,1950,1950,3,4,910.0,910,1558,1,3,6,1.0,282.0,152000
297,7,1997,1998,2,2,975.0,975,1950,2,2,7,2.0,576.0,239000
298,6,1968,1968,2,4,702.0,1041,1743,1,3,7,2.0,539.0,175000
299,6,1950,2004,3,4,1092.0,1152,1152,1,2,6,1.0,300.0,158500
300,5,1953,1953,3,4,1165.0,1336,1336,1,3,5,1.0,375.0,157000
301,8,1998,1999,2,2,1028.0,1210,2452,2,2,9,2.0,683.0,267000
302,7,2001,2002,2,2,1541.0,1541,1541,2,2,6,3.0,843.0,205000
303,5,1972,1972,3,4,894.0,894,894,1,3,5,2.0,552.0,149900
304,7,1880,2002,3,4,1470.0,1675,3493,3,2,10,3.0,870.0,295000
305,8,2004,2005,2,2,2000.0,2000,2000,2,2,8,3.0,888.0,305900
306,7,1990,1991,2,2,700.0,1122,2243,2,2,8,3.0,746.0,225000
307,6,1920,1950,3,4,319.0,1035,1406,1,1,6,0.0,0.0,89500
308,4,1940,1950,3,4,861.0,861,861,1,3,4,2.0,539.0,82500
309,9,2003,2004,2,0,1896.0,1944,1944,2,0,8,3.0,708.0,360000
310,6,1993,1994,3,2,697.0,697,1501,2,2,6,2.0,420.0,165600
311,6,1948,2002,3,4,972.0,972,972,1,3,5,1.0,240.0,132000
312,5,1939,1950,3,2,793.0,793,1118,1,3,5,2.0,410.0,119900
313,7,1965,1965,3,2,2136.0,2036,2036,2,3,8,2.0,513.0,375000
314,7,1925,1990,3,4,728.0,832,1641,1,0,6,2.0,546.0,178000
315,7,2004,2005,2,2,716.0,716,1432,2,2,6,2.0,432.0,188500
316,7,1980,1980,2,2,845.0,1153,2353,2,0,10,2.0,484.0,260000
317,8,2006,2006,2,2,1088.0,1088,1959,2,2,8,3.0,1025.0,270000
318,7,1993,1993,2,2,1347.0,1372,2646,2,2,9,3.0,656.0,260000
319,7,1980,1980,3,2,1372.0,1472,1472,2,3,6,2.0,588.0,187500
320,9,2006,2006,3,0,1249.0,1249,2596,3,2,9,3.0,840.0,342643
321,8,2004,2004,2,0,1136.0,1136,2468,2,2,10,3.0,872.0,354000
322,7,1986,1987,2,4,1502.0,1553,2730,2,2,8,2.0,576.0,301000
323,3,1955,2005,3,4,1162.0,1163,1163,1,3,6,1.0,220.0,126175
324,7,1967,2007,2,2,710.0,1898,2978,2,2,11,2.0,564.0,242000
325,5,1941,1950,3,4,720.0,803,803,1,3,5,2.0,360.0,87000
326,8,1993,1993,2,2,1719.0,1719,1719,1,2,6,2.0,473.0,324000
327,6,1960,1960,3,4,1383.0,1383,1383,1,3,7,1.0,292.0,145250
328,6,1916,1994,3,4,844.0,1445,2134,2,2,10,2.0,441.0,214500
329,5,1920,1950,3,4,596.0,596,1192,1,3,6,1.0,189.0,78000
330,5,1964,1964,3,4,1728.0,1728,1728,2,3,10,1.0,352.0,119000
331,5,1958,1992,3,4,1056.0,1056,1056,1,3,6,1.0,308.0,139000
332,8,2003,2004,2,2,3206.0,1629,1629,2,2,7,3.0,880.0,284000
333,7,2004,2004,2,2,1358.0,1358,1358,2,2,6,2.0,484.0,207000
334,6,1998,1998,3,2,943.0,943,1638,2,3,7,2.0,472.0,192000
335,5,1965,1965,3,4,1499.0,1619,1786,2,3,7,2.0,529.0,228950
